name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
B137	B	137	4.5	8.5	9	black	5	1	B_Dry_137	DL_m_7	dry	137	0.23	0.64	NA	NA	NA	67	13:44	08:00	05:44	5.73	NA	NA	31.07.2015	14.07.2015	5.22
B14	B	14	7	0.5	0	white	0	0	B_Pmal_14	Pm_m_3	pmal	14	0.7	1.21	71.2	0.01	35.9	121	13:54	08:00	05:54	5.9	360	NA	07.08.2015	04.08.2015	3.5
B140	B	140	6	8.5	3	orange	3	0	B_Pmal_140	Pmal_1_RDC	pmal	140	-0.03	0.52	70.1	0.04	32.3	137	11:25	08:00	03:25	3.42	391	NA	07.08.2015	04.08.2015	3.17
B141	B	141	6.5	8.5	9	black 	12	0	B_Slep_141	12H_Slep_8	slep	141	1.5	0.87	70.5	0.09	32.6	146	11:32	08:00	03:32	3.53	324	NA	07.08.2015	04.08.2015	4.05
B143	B	143	7.5	8.5	18	silver	12	1	B_Ptom_143	9I_Ptom_5	ptom	143	-0.46	0.41	NA	NA	NA	327	13:46	08:00	05:46	5.77	NA	NA	29.07.2015	14.07.2015	3.91
B148	B	148	6	9	12	blue	19	1	B_Dry_148	DL_Tawau	dry	148	3.88	1.3	70.1	0.09	37.2	345	11:30	08:00	03:30	3.5	287	NA	20.08.2015	04.08.2015	5.95
B148	B	148	6	9	12	blue	20	1	B_Dry_148	DL_Tawau	dry	148	0.81	1.74	70.3	0.61	37.8	149	11:46	08:00	03:46	3.77	404	NA	21.08.2015	04.08.2015	5.95
B149	B	149	6.5	9	0	white	0	0	B_Slep_149	12H_Slep_8	slep	149	1.59	1.06	NA	NA	NA	46	13:21	08:00	05:21	5.35	NA	NA	03.08.2015	14.07.2015	4.69
B150	B	150	7	9	3	orange	3	0	B_Ssem_150	Ssem_ou	ssem	150	0.41	0.54	70.5	0.04	32.9	154	11:38	08:00	03:38	3.63	340	NA	07.08.2015	04.08.2015	2.94
B153	B	153	4.5	9.5	0	white	0	1	B_Spar_153	SP_m_5	spar	153	2.62	1.42	NA	NA	NA	74	13:49	08:00	05:49	5.82	NA	NA	31.07.2015	14.07.2015	3.6
B154	B	154	5	9.5	3	orange	3	0	B_Slep_154	Slep_1	slep	154	-0.31	0.73	70.4	0.93	36.9	234	11:52	08:00	03:52	3.87	388	NA	21.08.2015	04.08.2015	5.32
B155	B	155	5.5	9.5	6	yellow	6	0	B_sbec_155	SHOREABECCARINA_Sbec	sbec	155	0.1	0.46	70.5	0.03	33.1	162	11:44	08:00	03:44	3.73	371	NA	07.08.2015	04.08.2015	5.79
B155	B	155	5.5	9.5	6	yellow	1	1	B_Sbec_155	SHOREABECCARINA_Sbec	sbec	155	-0.57	0.67	NA	NA	NA	100	10:53	08:00	02:53	2.88	NA	NA	30.07.2015	14.07.2015	5.79
B156	B	156	6	9.5	3	orange	3	0	B_Ssmi_156	Ssmi_Tawau	ssmi	156	0.88	0.5	69.8	0.04	33.2	118	11:52	08:00	03:52	3.87	320	NA	07.08.2015	04.08.2015	5.32
B156	B	156	6	9.5	3	orange	0	1	B_Ssmi_156	Ssmi_Tawau	ssmi	156	2.16	1.34	NA	NA	NA	41	13:52	08:00	05:52	5.87	NA	NA	29.07.2015	14.07.2015	5.32
B157	B	157	6.5	9.5	21	green 	38	1	B_Ssem_157	SS	ssem	157	1.01	0.71	70.3	0.82	37.1	341	11:58	08:00	03:58	3.97	298	NA	21.08.2015	04.08.2015	4.03
B158	B	158	7	9.5	6	yellow	6	0	B_Slep_158	SL_m_72	slep	158	5.21	1.21	70.8	0.17	33	142	12:01	08:00	04:01	4.02	282	NA	07.08.2015	04.08.2015	5.11
B158	B	158	7	9.5	6	yellow	1	1	B_Slep_158	SL_m_72	slep	158	2.62	1.23	NA	NA	NA	149	10:58	08:00	02:58	2.97	NA	NA	30.07.2015	14.07.2015	5.11
B159	B	159	7.5	9.5	9	black 	12	0	B_Sbec_159	Sbec_Sfr	sbec	159	-0.24	0.32	70.5	0.02	33.7	198	12:09	08:00	04:09	4.15	402	NA	07.08.2015	04.08.2015	4.29
B159	B	159	7.5	9.5	9	black	3	1	B_Sbec_159	Sbec_Sfr	sbec	159	-0.46	1.36	NA	NA	NA	33	13:58	08:00	05:58	5.97	NA	NA	29.07.2015	14.07.2015	4.29
B160	B	160	8	9.5	15	red	10	1	B_Sxan_160	9K_Sxan_29	sxan	160	-0.8	1.09	NA	NA	NA	549	11:05	08:00	03:05	3.08	NA	NA	30.07.2015	14.07.2015	2.62
B160	B	160	8	9.5	15	red	18	1	B_Sxan_160	9K_Sxan_29	sxan	160	0.16	0.59	70.5	0.04	34.5	229	12:16	08:00	04:16	4.27	361	NA	07.08.2015	04.08.2015	2.62
B18	B	18	5	1	15	red	26	1	B_Ptom_18	Ptom_m_3	ptom	18	-0.07	0.38	71.2	0.02	36.4	218	09:14	08:00	01:14	1.23	412	NA	21.08.2015	04.08.2015	3.94
B19	B	19	5.5	1	18	silver	32	1	B_Sjoh_19	ou_SJoh_23A	sjoh	19	-0.25	0.29	71.8	0.01	36.3	255	09:19	08:00	01:19	1.32	426	NA	21.08.2015	04.08.2015	4.04
B22	B	22	7	1	6	yellow	6	0	B_Ssem_22	Ssem_ou	ssem	22	-0.01	0.31	70.1	0.02	35.5	84	15:00	08:00	07:00	7	342	NA	07.08.2015	04.08.2015	3.18
B3	B	3	5.5	0	6	yellow	6	0	B_Pmal_3	Pm_m_6	pmal	3	-0.64	0.41	71.2	0.02	36.9	84	14:44	08:00	06:44	6.73	411	NA	07.08.2015	04.08.2015	4.48
B30	B	30	7	1.5	9	black 	14	1	B_Pmal_30	Pm_m_3	pmal	30	-0.11	0.77	70.8	0.05	36.2	226	09:25	08:00	01:25	1.42	348	NA	21.08.2015	04.08.2015	3.17
B31	B	31	7.5	1.5	0	white	0	0	B_Ssem_31	SS	ssem	31	-0.12	0.53	70.8	0.03	35	110	15:06	08:00	07:06	7.1	372	NA	07.08.2015	04.08.2015	3.3
B34	B	34	5	2	18	silver	31	1	B_Slep_34	8Q_Slep_4	slep	34	3.41	1.26	70.2	0.09	36.8	407	10:43	08:00	02:43	2.72	295	NA	20.08.2015	04.08.2015	4.76
B36	B	36	6	2	9	black	5	1	B_Sbec_36	SHOREABECCARINA_Sbec	sbec	36	0.57	0.35	NA	NA	NA	90	13:22	08:00	05:22	5.37	NA	NA	31.07.2015	14.07.2015	5.05
B36	B	36	6	2	9	black 	14	1	B_Sbec_36	SHOREABECCARINA_Sbec	sbec	36	-2.78	0.5	71.1	0.02	36.3	304	09:30	08:00	01:30	1.5	371	NA	21.08.2015	04.08.2015	5.05
B39	B	39	7.5	2	3	orange	3	0	B_Pmal_89	SHOREABECCARINA_Sbec	sbec	39	-0.41	0.37	70.9	0.1	36.7	218	10:33	08:00	02:33	2.55	391	NA	21.08.2015	04.08.2015	5.88
B4	B	4	6	0	3	orange	3	0	B_Sbec_4	Sbec_Sfr	sbec	4	-0.43	0.12	70.8	0.05	36.6	281	09:34	08:00	01:34	1.57	336	NA	20.08.2015	04.08.2015	4.37
B40	B	40	8	2	3	orange	3	0	B_Dry_40	DL_m_3	dry	40	3.43	1.12	70.5	0.07	36.7	325	09:35	08:00	01:35	1.58	285	NA	21.08.2015	04.08.2015	4.75
B41	B	41	4.5	2.5	21	green 	38	1	B_Ssmi_41	Ssmi_m_2	ssmi	41	-0.17	0.4	70.2	0.02	36.9	255	09:41	08:00	01:41	1.68	384	NA	21.08.2015	04.08.2015	4.27
B42	B	42	5	2.5	18	silver	12	1	B_Slep_42	8Q_Slep_4	slep	42	1.94	1.66	NA	NA	NA	124	12:25	08:00	04:25	4.42	NA	NA	29.07.2015	14.07.2015	5.11
B43	B	43	5.5	2.5	18	silver	13	1	B_Sbec_43	SHOREABECCARINA_Sbec	sbec	43	1.14	0.49	NA	NA	NA	87	16:02	08:00	08:02	8.03	NA	NA	30.07.2015	14.07.2015	4.6
B47	B	47	7.5	2.5	12	blue	15	0	B_Spar_47	9P_Spar_2	spar	47	-3.2	0.21	70.1	0.01	35.7	183	15:12	08:00	07:12	7.2	395	NA	07.08.2015	04.08.2015	2.85
B47	B	47	7.5	2.5	12	blue	7	1	B_Spar_47	9P_Spar_2	spar	47	0.8	0.85	NA	NA	NA	440	10:18	08:00	02:18	2.3	NA	NA	30.07.2015	14.07.2015	2.85
B48	B	48	8	2.5	9	black 	14	1	B_Spar_48	SP_m_7	spar	48	-0.43	0.25	71.9	0.03	36.8	193	09:47	08:00	01:47	1.78	NA	NA	21.08.2015	04.08.2015	3.31
B5	B	5	6.5	0	3	orange	3	0	B_Spar_5	Sp_m_1	spar	5	3.64	1.52	70.5	0.11	36.6	263	09:40	08:00	01:40	1.67	389	NA	21.08.2015	04.08.2015	4.92
B52	B	52	6	3	18	silver	14	1	B_Ssem_52	SS	ssem	52	-0.8	0.2	NA	NA	NA	298	09:20	08:00	01:20	1.33	NA	NA	31.07.2015	14.07.2015	3.89
B56	B	56	8	3	0	white	0	0	B_Ssmi_56	Ssmi_4	ssmi	56	-0.07	0.19	70.1	0.01	35.6	57	15:17	08:00	07:17	7.28	378	NA	07.08.2015	04.08.2015	5.03
B59	B	59	5.5	3.5	18	silver	12	1	B_Ssmi_59	Ssmi_3A	ssmi	59	-0.57	0.43	NA	NA	NA	97	12:31	08:00	04:31	4.52	NA	NA	29.07.2015	14.07.2015	3.25
B59	B	59	5.5	3.5	18	silver	14	1	B_Ssmi_59	Ssmi_3A	ssmi	59	0.34	0.35	NA	NA	NA	325	09:25	08:00	01:25	1.42	NA	NA	31.07.2015	14.07.2015	3.25
B59	B	59	5.5	3.5	18	silver	17	1	B_Ssmi_59	Ssmi_3A	ssmi	59	0.34	0.33	NA	NA	NA	84	13:37	08:00	05:37	5.62	NA	NA	03.08.2015	14.07.2015	3.25
B59	B	59	5.5	3.5	18	silver	32	1	B_Ssmi_59	Ssmi_3A	ssmi	59	-0.58	0.33	70.5	0.01	37	314	09:58	08:00	01:58	1.97	446	NA	21.08.2015	04.08.2015	3.25
B61	B	61	6.5	3.5	9	black	4	1	B_Ssmi_61	9H_Ssmi_4	ssmi	61	2.62	1.41	NA	NA	NA	311	10:25	08:00	02:25	2.42	NA	NA	30.07.2015	14.07.2015	5.14
B64	B	64	8	3.5	3	orange	3	0	B_Ptom_64	Pt_m_5	ptom	64	-0.23	0.23	71.5	0.01	34.9	49	15:28	08:00	07:28	7.47	415	NA	07.08.2015	04.08.2015	4.43
B66	B	66	5	4	12	blue	6	1	B_Ssmi_66	Ssmi_19	ssmi	66	0.46	0.43	NA	NA	NA	126	12:43	08:00	04:43	4.72	NA	NA	29.07.2015	14.07.2015	5.59
B66	B	66	5	4	12	blue	19	1	B_Ssmi_66	Ssmi_19	ssmi	66	-0.12	0.38	69.5	0.01	37.3	361	10:49	08:00	02:49	2.82	395	NA	20.08.2015	04.08.2015	5.59
B66	B	66	5	4	12	blue	20	1	B_Ssmi_66	Ssmi_19	ssmi	66	-0.36	0.23	71.5	0.02	37	381	10:04	08:00	02:04	2.07	457	NA	21.08.2015	04.08.2015	5.59
B70	B	70	7	4	0	white	0	0	B_Ssem_70	SS	ssem	70	3.85	1.41	71.1	0.01	37.3	381	10:10	08:00	02:10	2.17	291	NA	21.08.2015	04.08.2015	3.42
B72	B	72	8	4	6	yellow	6	0	B_Ssmi_72	Ssmi_Tawau	ssmi	72	-0.04	0.31	71.8	0.02	34.4	84	15:35	08:00	07:35	7.58	372	NA	07.08.2015	04.08.2015	4.16
B73	B	73	4.5	4.5	6	yellow	7	1	B_Spar_73	Spar_1	spar	73	-0.4	1.51	70.8	0.11	37.5	418	10:54	08:00	02:54	2.9	397	NA	20.08.2015	04.08.2015	3.22
B74	B	74	5	4.5	12	blue	19	1	B_Pmal_74	Pmal_m_1	pmal	74	-0.56	1.81	70.8	0.19	37.3	459	11:00	08:00	03:00	3	399	NA	20.08.2015	04.08.2015	3.97
B74	B	74	5	4.5	12	blue	20	1	B_Pmal_74	Pmal_m_1	pmal	74	3.68	1.44	70.5	0.1	37.4	328	10:16	08:00	02:16	2.27	283	NA	21.08.2015	04.08.2015	3.97
B75	B	75	5.5	4.5	6	yellow	6	0	B_Slep_75	Slep_1	slep	75	-3.28	0.82	70.5	0.06	34.4	82	00:00	08:00	16:00	16	357	NA	07.08.2015	04.08.2015	4.49
B76	B	76	6	4.5	6	yellow	6	0	B_Ptom_76	Ptom_3_rdc	ptom	76	-0.1	0.46	70.1	0.03	34.3	180	15:46	08:00	07:46	7.77	382	NA	07.08.2015	04.08.2015	4.84
B77	B	77	6.5	4.5	6	yellow	6	0	B_Sjoh_77	SJ_m_5	sjoh	77	-1.18	0.58	69.5	0.04	34.5	113	15:52	08:00	07:52	7.87	321	NA	07.08.2015	04.08.2015	3.13
B79	B	79	7.5	4.5	18	silver	17	1	B_Sjoh_79	8m_SJoh_7	sjoh	79	-0.57	0.43	NA	NA	NA	46	13:27	08:00	05:27	5.45	NA	NA	03.08.2015	14.07.2015	4.1
B79	B	79	7.5	4.5	18	silver	31	1	B_Sjoh_79	8m_SJoh_7	sjoh	79	-0.12	2.39	71.9	0.2	36.5	321	11:06	08:00	03:06	3.1	420	NA	20.08.2015	04.08.2015	4.1
B8	B	8	8	0	3	orange	3	0	B_Ssmi_8	Ssmi_4	ssmi	8	-0.37	0.22	70.1	0.01	36.1	59	14:49	08:00	06:49	6.82	448	NA	07.08.2015	04.08.2015	4.23
B80	B	80	8	4.5	15	red	9	1	B_Sjoh_80	S.Joh_m_7	sjoh	80	0	0.6	NA	NA	NA	110	12:49	08:00	04:49	4.82	NA	NA	29.07.2015	14.07.2015	3.57
B80	B	80	8	4.5	15	red	11	1	B_Sjoh_80	S.Joh_m_7	sjoh	80	0.11	0.61	NA	NA	NA	84	13:29	08:00	05:29	5.48	NA	NA	31.07.2015	14.07.2015	3.57
B80	B	80	8	4.5	15	red	26	1	B_Sjoh_80	S.Joh_m_7	sjoh	80	3.48	1.47	70.8	0.11	37.2	376	10:22	08:00	02:22	2.37	304	NA	21.08.2015	04.08.2015	3.57
B84	B	84	6	5	9	black	3	1	B_Ssem_84	SS	ssem	84	0.46	0.53	NA	NA	NA	134	12:57	08:00	04:57	4.95	NA	NA	29.07.2015	14.07.2015	3.42
B85	B	85	6.5	5	12	blue	6	1	B_Sbec_85	SHOREABECCARINA_Sbec	sbec	85	-0.57	0.71	NA	NA	NA	77	13:02	08:00	05:02	5.03	NA	NA	29.07.2015	14.07.2015	3.21
B85	B	85	6.5	5	12	blue	19	1	B_Sbec_85	SHOREABECCARINA_Sbec	sbec	85	1.25	0.93	70.8	0.15	36.7	468	11:11	08:00	03:11	3.18	325	NA	20.08.2015	04.08.2015	3.21
B86	B	86	7	5	18	silver	18	1	B_Ssmi_86	Ssmi_Tawau	ssmi	86	-0.25	0.24	71.5	0.01	34.5	84	15:58	08:00	07:58	7.97	413	NA	07.08.2015	04.08.2015	5.02
B87	B	87	7.5	5	18	silver	32	1	B_Dry_87	DL_m_1	dry	87	-0.28	0.27	70.1	0.01	37.2	345	10:28	08:00	02:28	2.47	417	NA	21.08.2015	04.08.2015	7.17
B88	B	88	8	5	12	blue	15	0	B_Slep_88	SL_maliau	slep	88	-0.15	0.22	70.5	0.01	34.4	45	16:08	08:00	08:08	8.13	403	NA	07.08.2015	04.08.2015	4.3
B88	B	88	8	5	12	blue	6	1	B_Slep_88	SL_maliau	slep	88	-0.46	0.51	NA	NA	NA	36	13:11	08:00	05:11	5.18	NA	NA	29.07.2015	14.07.2015	4.3
B90	B	90	5	5.5	3	orange	2	1	B_Sjoh_90	SJ_m_4	sjoh	90	0.8	0.47	NA	NA	NA	70	13:31	08:00	05:31	5.52	NA	NA	03.08.2015	14.07.2015	3.46
B91	B	91	5.5	5.5	18	silver	18	1	B_Sbec_91	Sbec_Sfr	sbec	91	0.25	0.31	70.1	0.02	34.4	79	16:13	08:00	08:13	8.22	354	NA	07.08.2015	04.08.2015	4.73
B93	B	93	6.5	5.5	9	black	5	1	B_Sxan_93	9K_Sxan_29	sxan	93	-0.34	0.5	NA	NA	NA	54	09:30	08:00	01:30	1.5	NA	NA	31.07.2015	14.07.2015	2.97
B93	B	93	6.5	5.5	9	black 	14	1	B_sxan_93	9K_Sxan_29	sxan	93	1.1	0.21	71.6	0.31	37.1	381	10:40	08:00	02:40	2.67	383	NA	21.08.2015	04.08.2015	2.97
B95	B	95	7.5	5.5	0	white	0	0	B_Sxan_95	Sxan_3_RDC	sxan	95	1.29	1.53	71.5	0.2	37.9	321	11:16	08:00	03:16	3.27	239	NA	20.08.2015	04.08.2015	2.81
B97	B	97	4.5	6	6	yellow	8	1	B_Ssmi_97	Ssmi_19	ssmi	97	-0.39	0.37	70.6	0.41	37.2	189	10:46	08:00	02:46	2.77	349	NA	21.08.2015	04.08.2015	4.92
C1	C	1	9	0	0	white	0	0	C_Dry_1	Dl_m_4	dry	1	0.13	0.67	71.4	0.45	37.3	321	12:04	08:00	04:04	4.07	318	NA	21.08.2015	04.08.2015	5.52
C100	C	100	10.5	6	0	white	0	0	C_Sxan_100	Sxan_1	sxan	100	0.34	0.44	70.8	0.03	36.3	70	16:23	08:00	08:23	8.38	356	NA	21.08.2015	04.08.2015	3.89
C101	C	101	11	6	6	yellow	6	0	C_Ssem_101	SS	ssem	101	-0.4	0.25	70.5	0.01	37.5	338	13:54	08:00	05:54	5.9	407	NA	07.08.2015	04.08.2015	3.3
C103	C	103	12	6	12	blue	8	1	C_Ssem_103	SS	ssem	103	0.11	0.23	NA	NA	NA	121	10:36	08:00	02:36	2.6	NA	NA	31.07.2015	14.07.2015	3.84
C107	C	107	10	6.5	3	orange	3	0	C_Slep_107	SL_m_6	slep	107	0.93	0.68	71.5	0.03	37.2	265	14:00	08:00	06:00	6	312	NA	07.08.2015	04.08.2015	3.97
C107	C	107	10	6.5	3	orange	3	0	C_Slep_107	SL_m_6	slep	107	1.79	1.02	70.6	0.08	37.6	311	14:04	08:00	06:04	6.07	399	NA	20.08.2015	04.08.2015	3.97
C109	C	109	11	6.5	15	red	11	1	C_Sbec_109	Sbec_Sfr	sbec	109	-0.46	0.3	NA	NA	NA	38	14:27	08:00	06:27	6.45	NA	NA	31.07.2015	14.07.2015	4.44
C110	C	110	11.5	6.5	9	black 	12	0	C_Ssem_110	SS	ssem	110	-0.07	0.33	70.5	0.01	37.2	332	14:06	08:00	06:06	6.1	378	NA	07.08.2015	04.08.2015	2.29
C111	C	111	12	6.5	18	silver	12	1	C_Pmal_111	Pmal_m_2	pmal	111	-0.57	0.36	NA	NA	NA	51	14:16	08:00	06:16	6.27	NA	NA	29.07.2015	14.07.2015	3.66
C112	C	112	12.5	6.5	6	yellow	8	1	C_Sbec_112	SHOREABECCARINA_Sbec	sbec	112	0.85	0.39	70.5	0.03	35.8	90	16:29	08:00	08:29	8.48	298	NA	21.08.2015	04.08.2015	5.87
C114	C	114	9.5	7	18	silver	17	1	C_Slep_114	Slep_1	slep	114	1.03	0.58	NA	NA	NA	92	13:42	08:00	05:42	5.7	NA	NA	03.08.2015	14.07.2015	2.68
C114	C	114	9.5	7	18	silver	32	1	C_Slep_114	Slep_1	slep	114	0.39	0.49	70.3	0.09	36.5	100	16:35	08:00	08:35	8.58	236	NA	21.08.2015	04.08.2015	2.68
C115	C	115	10	7	6	yellow	2	1	C_Spar_115	SP_m_7	spar	115	-0.34	0.36	NA	NA	NA	28	14:32	08:00	06:32	6.53	NA	NA	31.07.2015	14.07.2015	2.97
C119	C	119	12	7	3	orange	3	0	C_Spar_119	Sp_m_4	spar	119	0.02	0.26	70	0.02	35.5	74	16:40	08:00	08:40	8.67	377	NA	21.08.2015	04.08.2015	3.43
C12	C	12	10.5	0.5	0	white	0	0	C_Spar_12	SP_m_5	spar	12	1.32	0.07	70.8	0.05	40.2	329	14:03	08:00	06:03	6.05	434	NA	21.08.2015	04.08.2015	3.31
C122	C	122	9.5	7.5	15	red	9	1	C_Sxan_122	9K_Sxan_29	sxan	122	-0.11	0.38	NA	NA	NA	129	14:23	08:00	06:23	6.38	NA	NA	29.07.2015	14.07.2015	2.44
C124	C	124	10.5	7.5	9	black 	14	1	C_Dry_124	DL_m_3	dry	124	-0.77	0.36	71.1	0.02	37.4	418	16:46	08:00	08:46	8.77	491	NA	21.08.2015	04.08.2015	4.5
C125	C	125	11	7.5	0	white	0	0	C_Pmal_125	Pm_m_5	pmal	125	-0.81	0.81	71.3	0.04	36.6	389	16:51	08:00	08:51	8.85	439	NA	21.08.2015	04.08.2015	4.46
C127	C	127	12	7.5	15	red	26	1	C_Ssmi_127	Ssmi_Tawau	ssmi	127	-0.11	0.29	71.1	0.01	37.8	69	15:57	08:00	07:57	7.95	401	NA	21.08.2015	04.08.2015	4.36
C128	C	128	12.5	7.5	6	yellow	8	1	C_Ssem_128	Ssem_ou	ssem	128	-0.37	0.11	71.5	0.03	37.4	72	17:03	08:00	09:03	9.05	399	NA	21.08.2015	04.08.2015	4.01
C13	C	13	11	0.5	21	green 	38	1	C_Ssmi_13	Ssmi_4	ssmi	13	0.13	0.09	71.2	0.08	37.3	298	14:09	08:00	06:09	6.15	392	NA	21.08.2015	04.08.2015	5.4
C130	C	130	9.5	8	9	black 	12	0	C_Sxan_130	Sxan_3_RDC	sxan	130	-0.23	0.42	70.5	0.02	37.4	204	14:11	08:00	06:11	6.18	371	NA	07.08.2015	04.08.2015	2.92
C130	C	130	9.5	8	9	black	3	1	C_Sxan_130	Sxan_3_RDC	sxan	130	-0.11	0.53	NA	NA	NA	49	14:28	08:00	06:28	6.47	NA	NA	29.07.2015	14.07.2015	2.92
C132	C	132	10.5	8	12	blue	7	1	C_Spar_132	Spar_1	spar	132	-0.23	0.77	NA	NA	NA	97	12:02	08:00	04:02	4.03	NA	NA	30.07.2015	14.07.2015	3.54
C137	C	137	9	8.5	12	blue	7	1	C_Sbec_137	SHOREABECCARINA_Sbec	sbec	137	-0.34	0.5	NA	NA	NA	103	12:07	08:00	04:07	4.12	NA	NA	30.07.2015	14.07.2015	4.46
C138	C	138	9.5	8.5	3	orange	3	0	C_Sbec_138	SHOREABECCARINA_Sbec	sbec	138	-0.26	0.21	70.4	0.02	36.2	191	14:17	08:00	06:17	6.28	371	NA	07.08.2015	04.08.2015	4.8
C14	C	14	11.5	0.5	6	yellow	8	1	C_Slep_14	12I_Slep_3	slep	14	-0.01	0.08	70.3	0.08	37.5	149	14:15	08:00	06:15	6.25	298	NA	21.08.2015	04.08.2015	4.25
C140	C	140	10.5	8.5	18	silver	14	1	C_Ptom_140	Pt_m_1	ptom	140	-0.57	0.2	NA	NA	NA	23	14:37	08:00	06:37	6.62	NA	NA	31.07.2015	14.07.2015	4.05
C142	C	142	11.5	8.5	15	red	18	1	C_Ssem_142	SS	ssem	142	3.46	0.47	68.7	0.01	35.2	198	14:23	08:00	06:23	6.38	493	NA	07.08.2015	04.08.2015	2.95
C143	C	143	12	8.5	3	orange	3	0	C_Sxan_143	9K_Sxan_29	sxan	143	-0.02	0.65	71.4	0.03	32.6	197	14:28	08:00	06:28	6.47	373	NA	07.08.2015	04.08.2015	3.1
C145	C	145	9	9	21	green	15	1	C_Pmal_145	12H_Pmal_1	pmal	145	-0.68	1.94	NA	NA	NA	72	14:35	08:00	06:35	6.58	NA	NA	29.07.2015	14.07.2015	2.6
C145	C	145	9	9	21	green	17	1	C_Pmal_145	12H_Pmal_1	pmal	145	-0.34	0.62	NA	NA	NA	258	14:45	08:00	06:45	6.75	NA	NA	31.07.2015	14.07.2015	2.6
C147	C	147	10	9	21	green 	24	1	C_Slep_147	8Q_Slep_4	slep	147	1.3	0.25	70.2	0.02	35.4	224	14:33	08:00	06:33	6.55	402	NA	07.08.2015	04.08.2015	5.39
C149	C	149	11	9	15	red	18	1	C_Sjoh_149	ou_SJoh_23A	sjoh	149	3.34	0.6	70.1	0.09	34.4	146	14:38	08:00	06:38	6.63	280	NA	07.08.2015	04.08.2015	3.43
C150	C	150	11.5	9	3	orange	3	0	C_Pmal_150	8_m_Pmal_8	pmal	150	0.98	0.37	70.2	0.39	37.9	108	14:15	08:00	06:15	6.25	359	NA	20.08.2015	04.08.2015	4.22
C151	C	151	12	9	3	orange	3	0	C_Sjoh_151	8L_SJoh_50	sjoh	151	-0.42	0.28	70.8	0.09	30	117	14:20	08:00	06:20	6.33	283	NA	20.08.2015	04.08.2015	3.68
C152	C	152	12.5	9	18	silver	17	1	C_Sxan_152	11H_Sxan_1	sxan	152	-0.46	0.38	NA	NA	NA	371	11:04	08:00	03:04	3.07	NA	NA	03.08.2015	14.07.2015	3.33
C153	C	153	9	9.5	9	black	4	1	C_Pmal_153	Pm_m_3	pmal	153	0.91	0.76	NA	NA	NA	719	12:13	08:00	04:13	4.22	NA	NA	30.07.2015	14.07.2015	2.66
C155	C	155	10	9.5	15	red	10	1	C_Slep_155	SL_m_1	slep	155	-0.11	0.38	NA	NA	NA	108	12:19	08:00	04:19	4.32	NA	NA	30.07.2015	14.07.2015	3.52
C155	C	155	10	9.5	15	red	18	1	C_Slep_155	SL_m_1	slep	155	0.05	0.9	71.2	0.07	35.9	148	14:44	08:00	06:44	6.73	407	NA	07.08.2015	04.08.2015	3.52
C157	C	157	11	9.5	21	green	17	1	C_Dry_157	DL_m_2	dry	157	0.11	0.15	NA	NA	NA	79	10:31	08:00	02:31	2.52	NA	NA	31.07.2015	14.07.2015	7.14
C157	C	157	11	9.5	21	green 	38	1	C_Dry_157	DL_m_2	dry	157	-0.35	0.32	69.9	0.01	38.7	425	17:09	08:00	09:09	9.15	385	NA	21.08.2015	04.08.2015	7.14
C158	C	158	11.5	9.5	9	black 	14	1	C_Slep_158	12I_Slep_3	slep	158	5.29	1.61	71.8	0.1	39	420	17:15	08:00	09:15	9.25	278	NA	21.08.2015	04.08.2015	5
C16	C	16	12.5	0.5	9	black 	13	1	C_Spar_16	Sp_m_3	spar	16	3.8	1.26	70.8	0.06	37.1	278	11:35	08:00	03:35	3.58	284	NA	20.08.2015	04.08.2015	3.34
C17	C	17	9	1	3	orange	3	0	C_Ssmi_17	9H_Ssmi_4	ssmi	17	-0.37	0.18	70.5	0.03	36.9	148	14:21	08:00	06:21	6.35	341	NA	21.08.2015	04.08.2015	4.36
C17	C	17	9	1	3	orange	2	1	C_Ssmi_17	9H_Ssmi_4	ssmi	17	2.05	1.29	NA	NA	NA	87	14:11	08:00	06:11	6.18	NA	NA	03.08.2015	14.07.2015	4.36
C18	C	18	9.5	1	15	red	26	1	C_Ptom_18	Ptom_4	ptom	18	1.03	0.11	71.6	0.08	36.8	284	14:27	08:00	06:27	6.45	419	NA	21.08.2015	04.08.2015	4.17
C2	C	2	9.5	0	3	orange	3	0	C_Dry_2	DL_Tawau	dry	2	1.31	1.33	70.9	0.37	37.8	391	12:10	08:00	04:10	4.17	397	NA	21.08.2015	04.08.2015	4.69
C2	C	2	9.5	0	3	orange	0	1	C_Dry_2	DL_Tawau	dry	2	0.11	2.72	NA	NA	NA	310	10:03	08:00	02:03	2.05	NA	NA	31.07.2015	14.07.2015	4.69
C20	C	20	10.5	1	15	red	10	1	C_Sxan_20	11H_Sxan_1	sxan	20	-0.8	1.08	NA	NA	NA	418	11:15	08:00	03:15	3.25	NA	NA	30.07.2015	14.07.2015	4.31
C21	C	21	11	1	12	blue	7	1	C_Sxan_21	8m_Sxan_3	sxan	21	-0.11	0.77	NA	NA	NA	84	11:20	08:00	03:20	3.33	NA	NA	30.07.2015	14.07.2015	4.69
