name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
A160	A	160	3.5	9.5	6	yellow	7	1	A_Spar_160	Sp_m_1	spar	160	1.97	3.4	67.8	0.98	36.9	329	10:36	08:00	02:36	2.6	246	NA	20.08.2015	04.08.2015	5.06
A19	A	19	1	1	21	green 	24	1	A_Sbec_19	Sbec_Sfr	sbec	19	-0.77	0.15	71.2	0.01	56.9	157	11:50	08:00	03:50	3.83	392	NA	07.08.2015	04.08.2015	5.01
A2	A	2	0.5	0	15	red	10	1	A_Ssmi_2	Ssmi_m_2	ssmi	2	0.57	0.43	NA	NA	NA	49	09:33	08:00	01:33	1.55	NA	NA	30.07.2015	14.07.2015	3.98
A2	A	2	0.5	0	15	red	18	1	A_Ssmi_2	Ssmi_m_2	ssmi	2	-1.34	0.18	71.2	0.01	37.2	250	11:36	08:00	03:36	3.6	781	NA	07.08.2015	04.08.2015	3.98
A20	A	20	1.5	1	3	orange	3	0	A_Slep_20	9P_Slep_2	slep	20	2.32	1.01	71.2	0.08	35.9	458	11:55	08:00	03:55	3.92	315	NA	07.08.2015	04.08.2015	4.11
A23	A	23	3	1	3	orange	3	0	A_Sxan_23	8m_Sxan_3	sxan	23	1.8	0.83	70.8	0.04	35.9	198	14:34	08:00	06:34	6.57	351	NA	12.08.2015	04.08.2015	2.56
A25	A	25	0	1.5	18	silver	13	1	A_Slep_25	8P_Slep_4	slep	25	0.68	0.58	NA	NA	NA	49	09:38	08:00	01:38	1.63	NA	NA	30.07.2015	14.07.2015	3.31
A25	A	25	0	1.5	18	silver	23	1	A_Slep_25	8P_Slep_4	slep	25	0.72	0.69	70.5	0.07	35.6	368	14:40	08:00	06:40	6.67	551	NA	12.08.2015	04.08.2015	3.31
A26	A	26	0.5	1.5	9	black	5	1	A_Slep_26	SL_m_1	slep	26	2.39	1.07	NA	NA	NA	196	12:35	08:00	04:35	4.58	NA	NA	31.07.2015	14.07.2015	3.27
A26	A	26	0.5	1.5	9	black 	13	1	A_Slep_26	SL_m_1	slep	26	3.72	1.53	21.2	0.15	35.6	381	09:53	08:00	01:53	1.88	321	NA	20.08.2015	04.08.2015	3.27
A27	A	27	1	1.5	3	orange	3	0	A_Sjoh_27	8K_SJoh_8	sjoh	27	2.44	0.69	70.8	0.1	35.5	139	14:46	08:00	06:46	6.77	299	NA	12.08.2015	04.08.2015	2.79
A3	A	3	1	0	0	white	0	0	A_Pmal_3	Pm_m_3	pmal	3	7.71	1.76	70.5	0.23	35.4	196	10:36	08:00	02:36	2.6	257	NA	12.08.2015	04.08.2015	3.13
A33	A	33	0	2	12	blue	12	0	A_Sbec_33	Sbec_Sfr	sbec	33	0.07	1.08	70.8	0.1	34.9	72	14:51	08:00	06:51	6.85	376	NA	12.08.2015	04.08.2015	4.72
A35	A	35	1	2	9	black 	12	0	A_Sjoh_35	SJ_m_1	sjoh	35	-1.77	0.5	71.2	0.02	37.6	399	12:00	08:00	04:00	4	350	NA	07.08.2015	04.08.2015	3.81
A36	A	36	1.5	2	12	blue	12	0	A_Ssmi_36	Ssmi_5	ssmi	36	0.59	1	70.8	0.1	34.2	41	14:56	08:00	06:56	6.93	366	NA	12.08.2015	04.08.2015	6.29
A36	A	36	1.5	2	12	blue	8	1	A_Ssmi_36	Ssmi_5	ssmi	36	0.23	0.91	NA	NA	NA	332	12:39	08:00	04:39	4.65	NA	NA	31.07.2015	14.07.2015	6.29
