cenus	name	mother	block	poss	xcoord	ycoord	treat	col.E	tag	sp	dia	height	leaf	sday	surv	Bleaf	Bstem	Broot	Btotal
4	A143	9J_Ptom_14	A	143	3	8.5	21	green	A_Ptom_143	Ptom	NA	NA	NA	26	0	NA	NA	NA	NA
4	A144	All_Pmal_1	A	144	3.5	8.5	0	white	A_Pmal_144	Pmal	5.13	260	3	84	1	965.5	2180.9	1046.8	4193.2
4	A145	9H_Ssmi_4	A	145	0	9	18	silver	A_Ssmi_145	Ssmi	8.24	560	3	84	1	3119.2	7763	2829	13711.2
4	A146	Sxan_1	A	146	0.5	9	6	yellow	A_Sxan_146	Sxan	NA	NA	NA	51	0	NA	NA	NA	NA
4	A147	Sp_m_4	A	147	1	9	3	orange	A_Spar_147	Spar	6.28	390	6	84	1	1742.6	2875.2	1853.6	6471.4
4	A148	DL_Tawau	A	148	1.5	9	9	black	A_Dry_148	Dry	8.31	630	19	84	1	3528.1	7253.1	3236.8	14018
4	A149	9K_Sxan_2	A	149	2	9	3	orange	A_Sxan_149	Sxan	5.16	230	4	84	1	1569.9	787.5	2132.3	4489.7
4	A150	Pm_m_5	A	150	2.5	9	21	green	A_Pmal_150	Pmal	NA	NA	NA	42	0	NA	NA	NA	NA
4	A151	Ssmi_Tawau	A	151	3	9	9	black	A_Ssmi_151	Ssmi	7.33	520	3	84	1	2989.8	6265.3	1973.3	11228.4
4	A152	9P_Spar_2	A	152	3.5	9	9	black	A_Spar_152	Spar	NA	NA	NA	44	0	NA	NA	NA	NA
4	A153	SJoh_m	A	153	0	9.5	21	green	A_Sjoh_153	Sjoh	NA	NA	NA	35	0	NA	NA	NA	NA
4	A154	Ssmi_m_2	A	154	0.5	9.5	21	green	A_Ssmi_154	Ssmi	NA	NA	NA	31	0	NA	NA	NA	NA
4	A155	8m_Sxan_3	A	155	1	9.5	6	yellow	A_Sxan_155	Sxan	NA	NA	NA	45	0	NA	NA	NA	NA
4	A156	All_Pmal_1	A	156	1.5	9.5	9	black	A_Pmal_156	Pmal	3.65	260	5	84	1	1603.2	2207.6	2113.1	5923.9
4	A157	Sbec_Sfr	A	157	2	9.5	3	orange	A_Sbec_157	Sbec	5.01	170	1	84	1	102.6	823.1	777.1	1702.8
4	A158	SL_maliau	A	158	2.5	9.5	15	red	A_Slep_158	Slep	4.14	420	1	84	1	168.2	1995.4	1136.1	3299.7
4	A159	Pm_m_4	A	159	3	9.5	3	orange	A_Pmal_159	Pmal	6.89	250	0	84	1	0	1403.5	1689.5	3093
4	A160	Sp_m_1	A	160	3.5	9.5	6	yellow	A_Spar_160	Spar	6.16	500	6	84	1	1084.2	4377.7	2834.6	8296.5
4	B1	Ssmi_19	B	1	4.5	0	12	blue	B_Ssmi_1	Ssmi	7.53	541	0	84	1	0	4412.6	2480.4	6893
4	B2	Spar_1	B	2	5	0	15	red	B_Spar_2	Spar	NA	NA	NA	45	0	NA	NA	NA	NA
4	B3	Pm_m_6	B	3	5.5	0	6	yellow	B_Pmal_3	Pmal	5.46	370	4	84	1	1833.8	2778.3	2636.3	7248.4
4	B4	Sbec_Sfr	B	4	6	0	3	orange	B_Sbec_4	Sbec	6.4	440	4	84	1	3355.6	5277.1	4516.1	13148.8
4	B5	Sp_m_1	B	5	6.5	0	3	orange	B_Spar_5	Spar	6.59	440	7	84	1	911.3	4048.2	1413.9	6373.4
4	B6	Pt_m_1	B	6	7	0	9	black	B_Ptom_6	Ptom	4.62	380	2	84	1	320.9	2126.6	1203.2	3650.7
4	B7	9L_Pmal_7	B	7	7.5	0	0	white	B_Pmal_7	Pmal	5.28	320	4	84	1	1358.7	3218.4	1526.2	6103.3
4	B8	Ssmi_4	B	8	8	0	3	orange	B_Ssmi_8	Ssmi	6.89	304	5	84	1	1723.9	3548.5	2888.1	8160.5
4	B9	8L_SJoh_50	B	9	4.5	0.5	3	orange	B_Sjoh_9	Sjoh	7.62	530	7	84	1	4342.6	6286.5	4006.6	14635.7
4	B10	9P_Spar_2	B	10	5	0.5	3	orange	B_Spar_10	Spar	3.57	300	2	84	1	186.2	815.1	536.5	1537.8
4	B11	SHOREABECCARINA_Sbec	B	11	5.5	0.5	0	white	B_Sbec_11	Sbec	7.4	450	10	84	1	5757.6	1531	3283	10571.6
4	B12	8L_Sxan_10	B	12	6	0.5	3	orange	B_Sxan_12	Sxan	5.18	340	9	84	1	2094	2884	1646.2	6624.2
4	B13	SJoh_m	B	13	6.5	0.5	0	white	B_Sjoh_13	Sjoh	4.07	371	4	84	1	849.5	1554.2	805	3208.7
4	B14	Pm_m_3	B	14	7	0.5	0	white	B_Pmal_14	Pmal	5.07	401	2	84	1	971.5	2242.4	1544.7	4758.6
4	B15	ou_sxan_2	B	15	7.5	0.5	21	green	B_Sxan_15	Sxan	NA	NA	NA	30	0	NA	NA	NA	NA
4	B16	9J_Ptom_14	B	16	8	0.5	12	blue	B_Ptom_16	Ptom	3.4	172	2	84	1	658.9	1111.8	1607.4	3378.1
4	B17	Ptom_m_3	B	17	4.5	1	21	green	B_Ptom_17	Ptom	4.57	420	0	84	1	0	1961.1	1752.3	3713.4
4	B18	Ptom_m_3	B	18	5	1	15	red	B_Ptom_18	Ptom	NA	NA	NA	37	0	NA	NA	NA	NA
4	B19	ou_SJoh_23A	B	19	5.5	1	18	silver	B_Sjoh_19	Sjoh	NA	NA	NA	70	0	NA	NA	NA	NA
4	B20	Sp_m_1	B	20	6	1	12	blue	B_Spar_20	Spar	4.59	494	3	84	1	132.9	2289.9	1041.8	3464.6
4	B21	Ssmi_Tawau	B	21	6.5	1	0	white	B_Ssmi_21	Ssmi	7.01	470	4	84	1	2020.9	1247.1	3278.6	6546.6
4	B22	Ssem_ou	B	22	7	1	6	yellow	B_Ssem_22	Ssem	4.39	241	3	84	1	520.7	1804.1	1109.3	3434.1
4	B23	Ssmi_3A	B	23	7.5	1	15	red	B_Ssmi_23	Ssmi	4.63	400	0	84	1	0	2091.5	921.4	3012.9
4	B24	8m_Sxan_3	B	24	8	1	9	black	B_Sxan_24	Sxan	NA	NA	NA	41	0	NA	NA	NA	NA
4	B25	12H_Pmal_1	B	25	4.5	1.5	9	black	B_Pmal_25	Pmal	4.12	230	3	84	1	776.1	1257.9	930.2	2964.2
4	B26	8m_Sxan_3	B	26	5	1.5	6	yellow	B_Sxan_26	Sxan	NA	NA	NA	35	0	NA	NA	NA	NA
4	B27	DL_m_3	B	27	5.5	1.5	0	white	B_Dry_27	Dry	6.43	610	22	84	1	5983.8	6391.2	2783.1	15158.1
