"sp" "rgr"
"1" "dry" -0.212727091613495
"2" "pmal" -0.155987967682841
"3" "ptom" -0.303969564526554
"4" "sbec" -0.0863183304451746
"5" "sjoh" -0.18501363821762
"6" "slep" -0.234060705583406
"7" "spar" -0.287467970418536
"8" "ssem" -0.220466637470189
"9" "ssmi" -0.172370448747768
"10" "sxan" -0.0890165369080596
