"sp" "rgr"
"1" "Dry" -0.00132081457701146
"2" "Pmal" -0.00899830777896697
"3" "Ptom" -0.00483234169727466
"4" "Sbec" -0.00881084379588245
"5" "Sjoh" -0.00919238590165023
"6" "Slep" -0.00514709770697607
"7" "Spar" -0.00884983501054637
"8" "Ssem" -0.00947757315862035
"9" "Ssmi" -0.00772950065434613
"10" "Sxan" -0.0168782638536606
