"sp" "rgr"
"1" "dry" 0.314116767290237
"4" "sbec" 0.109387063274262
"3" "ptom" -0.00613641922948976
"5" "sjoh" -0.0702567012734321
"10" "sxan" -0.125824309700425
"2" "pmal" -0.141402054475117
"6" "slep" -0.149377622099875
"8" "ssem" -0.157792230010144
"9" "ssmi" -0.311745938726551
"7" "spar" -0.48503693859359
