"sp" "A"
"1" "dry" 1.31921142032558
"2" "pmal" 1.29445100683745
"3" "ptom" 1.19637420036556
"4" "sbec" 0.972384358641422
"5" "sjoh" 1.32466461222003
"6" "slep" 2.12495293344255
"7" "spar" 1.18713224035292
"8" "ssem" 1.47543730549883
"9" "ssmi" 1.62435893610499
"10" "sxan" 0.594190589177509
