"sp" "p"
"1" "dry" -0.00036344428432968
"6" "slep" -0.106906330448923
"9" "ssmi" -0.143544438375119
"4" "sbec" -0.176165067914006
"3" "ptom" -0.235737697780191
"5" "sjoh" -0.266976213843931
"7" "spar" -0.347867520386601
"8" "ssem" -0.349687988306188
"2" "pmal" -0.375220261282483
"10" "sxan" -0.390266612512828
